,date,code,pcs_m,quantity,location,loc_date
,02/03/2022,G178,,2,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G65,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G26,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G35,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G67,,2,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G4,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G30,,9,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G10,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G177,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G124,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G7,,2,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G21,,4,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G71,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G210,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G80,,2,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G158,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G175,,1,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G124,,4,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G92,,3,cordova-creek,"('cordovacreek', '2022-02-03')"
,02/03/2022,G59,,4,cordova-creek,"('cordovacreek', '2022-02-03')"
