,date,code,pcs_m,quantity,location,loc_date
,2022-03-20,G198,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G83,,12,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G175,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G126,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G35,,4,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G180,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G200,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G21,,6,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G33,,6,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G33,,7,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G93,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G151,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G98,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G126,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G25,,8,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G100,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G101,,4,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G21,,27,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G7,,29,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G30,,54,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G177,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G32,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
