,date,code,pcs_m,quantity,location,loc_date
25331,2017-05-17,G195,0.02,1,antelope,"('antelope', '2017-05-17')"
25332,2017-05-17,G66,0.02,1,antelope,"('antelope', '2017-05-17')"
25333,2017-05-17,G200,0.08,5,antelope,"('antelope', '2017-05-17')"
25334,2017-05-17,G82,0.38,23,antelope,"('antelope', '2017-05-17')"
25335,2017-05-17,G23,0.03,2,antelope,"('antelope', '2017-05-17')"
25336,2017-05-17,G126,0.05,3,antelope,"('antelope', '2017-05-17')"
25337,2017-05-17,G3,0.48,29,antelope,"('antelope', '2017-05-17')"
25338,2017-05-17,G156,0.33,20,antelope,"('antelope', '2017-05-17')"
25339,2017-05-17,G33,0.18,11,antelope,"('antelope', '2017-05-17')"
25340,2017-05-17,G179,0.02,1,antelope,"('antelope', '2017-05-17')"
25341,2017-05-17,G49,0.02,1,antelope,"('antelope', '2017-05-17')"
25342,2017-05-17,G199,0.07,4,antelope,"('antelope', '2017-05-17')"
25343,2017-05-17,G79,0.03,2,antelope,"('antelope', '2017-05-17')"
25344,2017-05-17,G21,0.05,3,antelope,"('antelope', '2017-05-17')"
25345,2017-05-17,G124,0.05,3,antelope,"('antelope', '2017-05-17')"
25346,2017-05-17,G27,0.02,1,antelope,"('antelope', '2017-05-17')"
25347,2017-05-17,G145,0.05,3,antelope,"('antelope', '2017-05-17')"
25348,2017-05-17,G32,0.1,6,antelope,"('antelope', '2017-05-17')"
25349,2017-05-17,G176,0.03,2,antelope,"('antelope', '2017-05-17')"
25350,2017-05-17,G35,0.43,26,antelope,"('antelope', '2017-05-17')"
25351,2017-05-17,G198,0.05,3,antelope,"('antelope', '2017-05-17')"
25352,2017-05-17,G7,0.15,9,antelope,"('antelope', '2017-05-17')"
25353,2017-05-17,G204,0.03,2,antelope,"('antelope', '2017-05-17')"
25354,2017-05-17,G89,0.05,3,antelope,"('antelope', '2017-05-17')"
25355,2017-05-17,G100,0.02,1,antelope,"('antelope', '2017-05-17')"
25356,2017-05-17,G25,0.08,5,antelope,"('antelope', '2017-05-17')"
25357,2017-05-17,G128,0.02,1,antelope,"('antelope', '2017-05-17')"
25358,2017-05-17,G30,1.2,73,antelope,"('antelope', '2017-05-17')"
25359,2017-05-17,G175,0.07,4,antelope,"('antelope', '2017-05-17')"
25360,2017-05-17,G34,0.02,1,antelope,"('antelope', '2017-05-17')"
25361,2017-05-15,G10,0.12,3,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25362,2017-05-15,G28,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25363,2017-05-15,G125,0.08,2,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25364,2017-05-15,G32,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25365,2017-05-15,G153,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25366,2017-05-15,G50,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25367,2017-05-15,G178,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25368,2017-05-15,G79,0.12,3,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25369,2017-05-15,G21,0.15,4,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25370,2017-05-15,G87,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25371,2017-05-15,G27,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25372,2017-05-15,G101,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25373,2017-05-15,G30,0.15,4,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25374,2017-05-15,G151,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25375,2017-05-15,G4,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25376,2017-05-15,G175,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25377,2017-05-15,G7,0.15,4,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25378,2017-05-15,G200,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25379,2017-05-15,G82,0.27,7,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25380,2017-05-15,G25,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25381,2017-05-15,G100,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
25382,2017-05-15,G3,0.04,1,cordova-creek-ii,"('cordova-creek-ii', '2017-05-15')"
